"Mobility trend; per stage, modes of travel, purposes of travel, age and sex"
"Sex: Total male and female"
"Margins: Value"
"";"";""
"";"";"Modes of travel";"Total";"Total";"Total";"Car as driver";"Car as driver";"Car as driver";"Car as passenger";"Car as passenger";"Car as passenger";"Train";"Train";"Train";"Bus/metro";"Bus/metro";"Bus/metro";"Bike";"Bike";"Bike";"Walking";"Walking";"Walking";"Other";"Other";"Other"
"";"";"Topic";"Stages per person per day (average)";"Distance travelled per stage (average)";"Average travel time per stage";"Stages per person per day (average)";"Distance travelled per stage (average)";"Average travel time per stage";"Stages per person per day (average)";"Distance travelled per stage (average)";"Average travel time per stage";"Stages per person per day (average)";"Distance travelled per stage (average)";"Average travel time per stage";"Stages per person per day (average)";"Distance travelled per stage (average)";"Average travel time per stage";"Stages per person per day (average)";"Distance travelled per stage (average)";"Average travel time per stage";"Stages per person per day (average)";"Distance travelled per stage (average)";"Average travel time per stage";"Stages per person per day (average)";"Distance travelled per stage (average)";"Average travel time per stage"
"Periods";"Age";"Travel motives";"number";"passenger kilometres";"Minutes";"number";"passenger kilometres";"Minutes";"number";"passenger kilometres";"Minutes";"number";"passenger kilometres";"Minutes";"number";"passenger kilometres";"Minutes";"number";"passenger kilometres";"Minutes";"number";"passenger kilometres";"Minutes";"number";"passenger kilometres";"Minutes"
"2021*";"18 to 24 years";"Travel to/from work, (non)-daily commute";"0.54";"11.43";"21.21";"0.19";"19.36";"25.72";"0.03";"16.17";"25.45";"0.02";"34.75";"38.21";"0.04";"8.56";"25.53";"0.16";"3.36";"16.65";"0.07";"0.73";"9.44";"0.04";"11.92";"22.88"
"2021*";"25 to 29 years";"Travel to/from work, (non)-daily commute";"0.67";"16.18";"24.42";"0.30";"24.69";"29.20";"0.02";"20.28";"28.44";"0.04";"37.87";"39.44";"0.04";"8.24";"24.77";"0.16";"3.81";"18.06";"0.08";"0.77";"9.94";"0.04";"17.97";"26.85"
"2021*";"30 to 39 years";"Travel to/from work, (non)-daily commute";"0.57";"16.97";"25.05";"0.30";"24.11";"28.80";"0.01";"21.45";"28.90";"0.02";"37.83";"39.70";"0.02";"8.24";"25.04";"0.13";"4.22";"19.10";"0.05";"0.80";"10.13";"0.04";"19.91";"27.97"
"2021*";"40 to 49 years";"Travel to/from work, (non)-daily commute";"0.57";"16.61";"24.86";"0.30";"23.28";"28.12";"0.01";"19.39";"27.09";"0.01";"38.28";"40.38";"0.02";"8.78";"25.66";"0.14";"4.51";"19.50";"0.04";"0.87";"10.50";"0.04";"20.63";"27.91"
"2021*";"50 to 59 years";"Travel to/from work, (non)-daily commute";"0.58";"16.38";"24.92";"0.30";"23.05";"28.11";"0.01";"18.74";"25.89";"0.01";"38.61";"42.17";"0.02";"9.22";"26.55";"0.15";"4.69";"19.80";"0.04";"0.89";"10.23";"0.05";"20.79";"28.74"
"2021*";"60 to 64 years";"Travel to/from work, (non)-daily commute";"0.46";"15.73";"24.32";"0.22";"23.19";"27.92";".";".";".";".";".";".";".";".";".";"0.13";"4.49";"19.39";"0.04";"0.86";"10.13";"0.04";"19.99";"27.77"
"2021*";"65 to 69 years";"Travel to/from work, (non)-daily commute";"0.20";"12.85";"22.21";"0.09";"19.95";"25.89";".";".";".";".";".";".";".";".";".";"0.07";"3.72";"17.65";".";".";".";".";".";"."
"2022*";"18 to 24 years";"Travel to/from work, (non)-daily commute";"0.62";"11.79";"21.82";"0.20";"20.33";"27.09";"0.03";"17.51";"26.89";"0.03";"36.96";"40.53";"0.05";"8.72";"25.89";"0.18";"3.42";"16.83";"0.09";"0.72";"9.57";"0.04";"13.68";"23.71"
"2022*";"25 to 29 years";"Travel to/from work, (non)-daily commute";"0.79";"16.55";"25.13";"0.33";"25.85";"30.80";"0.02";"22.15";"30.13";"0.05";"40.48";"41.90";"0.05";"8.40";"25.10";"0.19";"3.89";"18.23";"0.11";"0.76";"10.03";"0.04";"20.50";"27.90"
"2022*";"30 to 39 years";"Travel to/from work, (non)-daily commute";"0.68";"17.32";"25.75";"0.32";"25.38";"30.43";"0.02";"23.26";"30.57";"0.03";"40.57";"42.21";"0.03";"8.39";"25.34";"0.16";"4.31";"19.26";"0.08";"0.79";"10.22";"0.04";"22.49";"28.97"
"2022*";"40 to 49 years";"Travel to/from work, (non)-daily commute";"0.67";"17.09";"25.60";"0.33";"24.52";"29.69";"0.01";"21.31";"28.85";"0.02";"40.91";"42.80";"0.03";"8.93";"25.97";"0.17";"4.60";"19.62";"0.06";"0.86";"10.59";"0.05";"23.25";"28.91"
"2022*";"50 to 59 years";"Travel to/from work, (non)-daily commute";"0.68";"16.89";"25.69";"0.33";"24.28";"29.65";"0.01";"20.65";"27.51";"0.02";"41.30";"44.69";"0.02";"9.36";"26.85";"0.18";"4.82";"19.96";"0.06";"0.88";"10.36";"0.05";"23.29";"29.78"
"2022*";"60 to 64 years";"Travel to/from work, (non)-daily commute";"0.54";"16.24";"25.05";"0.25";"24.38";"29.42";".";".";".";".";".";".";".";".";".";"0.15";"4.61";"19.55";"0.05";"0.86";"10.29";"0.04";"22.41";"28.80"
"2022*";"65 to 69 years";"Travel to/from work, (non)-daily commute";"0.24";"13.16";"22.86";"0.10";"20.89";"27.25";".";".";".";".";".";".";".";".";".";"0.08";"3.83";"17.83";"0.02";"0.86";"11.11";".";".";"."
"2023*";"18 to 24 years";"Travel to/from work, (non)-daily commute";"0.66";"11.93";"22.23";"0.20";"20.59";"27.84";"0.03";"17.58";"27.63";"0.04";"38.30";"41.64";"0.06";"8.59";"25.87";"0.19";"3.44";"16.83";"0.10";"0.73";"9.94";"0.04";"12.22";"23.07"
"2023*";"25 to 29 years";"Travel to/from work, (non)-daily commute";"0.86";"16.71";"25.62";"0.34";"26.16";"31.67";"0.03";"22.37";"30.98";"0.06";"42.07";"43.08";"0.06";"8.27";"25.05";"0.20";"3.92";"18.23";"0.12";"0.76";"10.39";"0.04";"18.33";"27.22"
"2023*";"30 to 39 years";"Travel to/from work, (non)-daily commute";"0.73";"17.32";"26.16";"0.33";"25.77";"31.32";"0.02";"23.37";"31.38";"0.04";"42.19";"43.38";"0.04";"8.26";"25.28";"0.17";"4.35";"19.26";"0.09";"0.79";"10.59";"0.04";"20.12";"28.29"
"2023*";"40 to 49 years";"Travel to/from work, (non)-daily commute";"0.73";"17.19";"26.06";"0.35";"24.93";"30.55";"0.01";"21.58";"29.72";"0.03";"42.51";"43.96";"0.03";"8.79";"25.93";"0.18";"4.65";"19.60";"0.07";"0.86";"10.98";"0.05";"20.75";"28.21"
"2023*";"50 to 59 years";"Travel to/from work, (non)-daily commute";"0.72";"17.03";"26.17";"0.35";"24.69";"30.49";"0.01";"21.03";"28.39";"0.03";"42.89";"45.81";"0.03";"9.21";"26.79";"0.19";"4.89";"19.95";"0.07";"0.88";"10.74";"0.05";"20.74";"29.05"
"2023*";"60 to 64 years";"Travel to/from work, (non)-daily commute";"0.58";"16.45";"25.57";"0.27";"24.77";"30.24";".";".";".";".";".";".";".";".";".";"0.16";"4.68";"19.57";"0.06";"0.86";"10.69";"0.04";"19.93";"28.05"
"2023*";"65 to 69 years";"Travel to/from work, (non)-daily commute";"0.26";"13.40";"23.39";"0.11";"21.18";"28.00";".";".";".";".";".";".";".";".";".";"0.09";"3.90";"17.85";"0.02";"0.87";"11.56";".";".";"."
"Source: CBS"
